Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,61.06999969482422,62.58000183105469,60.880001068115234,61.959999084472656,61.959999084472656,764000
2022-06-28,62.68000030517578,63.31999969482422,60.72999954223633,61.08000183105469,61.08000183105469,642400
2022-06-29,60.4900016784668,60.75,59.5,60.369998931884766,60.369998931884766,707400
2022-06-30,59.34000015258789,60.15999984741211,58.75,59.310001373291016,59.310001373291016,1216600
2022-07-01,58.970001220703125,60.54999923706055,58.83000183105469,60.400001525878906,60.400001525878906,583100
2022-07-05,59.47999954223633,60.5099983215332,57.540000915527344,60.369998931884766,60.369998931884766,702400
2022-07-06,59.9900016784668,61.0099983215332,59.40999984741211,59.849998474121094,59.849998474121094,653100
2022-07-07,60.380001068115234,60.779998779296875,60.0,60.279998779296875,60.279998779296875,473300
2022-07-08,59.97999954223633,60.20000076293945,59.2599983215332,59.630001068115234,59.630001068115234,425800
2022-07-11,59.83000183105469,59.939998626708984,59.0099983215332,59.7599983215332,59.7599983215332,426200
2022-07-12,59.59000015258789,60.91999816894531,59.540000915527344,60.5,60.5,574100
2022-07-13,59.66999816894531,60.27000045776367,59.209999084472656,59.66999816894531,59.66999816894531,527300
2022-07-14,58.31999969482422,59.380001068115234,58.31999969482422,58.72999954223633,58.72999954223633,566700
2022-07-15,59.52000045776367,60.2599983215332,59.02000045776367,60.20000076293945,60.20000076293945,686700
2022-07-18,60.439998626708984,60.90999984741211,60.18000030517578,60.68000030517578,60.68000030517578,643300
2022-07-19,61.54999923706055,62.720001220703125,61.43000030517578,62.439998626708984,62.439998626708984,534300
2022-07-20,62.099998474121094,63.599998474121094,62.04999923706055,63.150001525878906,63.150001525878906,723000
2022-07-21,62.689998626708984,63.18000030517578,61.72999954223633,62.9900016784668,62.9900016784668,679400
2022-07-22,63.29999923706055,63.619998931884766,62.7400016784668,62.81999969482422,62.81999969482422,527600
2022-07-25,63.040000915527344,63.40999984741211,62.54999923706055,63.209999084472656,63.209999084472656,607100
2022-07-26,63.130001068115234,63.459999084472656,62.0,62.06999969482422,62.06999969482422,750300
2022-07-27,62.31999969482422,63.099998474121094,62.150001525878906,62.86000061035156,62.86000061035156,847000
2022-07-28,63.349998474121094,64.13999938964844,62.810001373291016,63.75,63.75,945500
2022-07-29,64.0,64.86000061035156,63.709999084472656,64.43000030517578,64.43000030517578,1747200
2022-08-01,63.779998779296875,64.5,63.439998626708984,63.77000045776367,63.77000045776367,1038700
2022-08-02,63.599998474121094,63.7599983215332,62.369998931884766,62.45000076293945,62.45000076293945,981000
2022-08-03,62.650001525878906,64.25,62.650001525878906,62.810001373291016,62.810001373291016,1052500
2022-08-04,62.849998474121094,63.72999954223633,62.61000061035156,62.810001373291016,62.810001373291016,917200
2022-08-05,62.150001525878906,63.040000915527344,61.779998779296875,62.84000015258789,62.84000015258789,863500
2022-08-08,63.36000061035156,64.45999908447266,63.310001373291016,64.04000091552734,64.04000091552734,820500
2022-08-09,64.2300033569336,64.2300033569336,63.06999969482422,63.7400016784668,63.7400016784668,1069100
2022-08-10,64.72000122070312,65.22000122070312,64.37999725341797,65.12000274658203,65.12000274658203,858600
2022-08-11,65.41999816894531,66.0,65.0,65.30000305175781,65.30000305175781,724200
2022-08-12,65.76000213623047,66.51000213623047,65.62999725341797,66.30000305175781,66.30000305175781,761900
2022-08-15,66.19999694824219,66.66999816894531,65.94999694824219,66.30999755859375,66.30999755859375,775500
2022-08-16,66.30999755859375,67.29000091552734,66.0,66.58000183105469,66.58000183105469,707800
2022-08-17,66.12000274658203,66.48999786376953,65.01000213623047,65.91000366210938,65.91000366210938,614400
2022-08-18,66.0199966430664,66.4000015258789,65.77999877929688,65.9800033569336,65.9800033569336,744100
2022-08-19,65.54000091552734,65.66999816894531,64.66000366210938,64.80999755859375,64.80999755859375,823000
2022-08-22,64.47000122070312,64.80000305175781,63.290000915527344,63.56999969482422,63.56999969482422,732100
2022-08-23,63.61000061035156,63.720001220703125,62.529998779296875,63.0,63.0,733200
2022-08-24,62.90999984741211,63.560001373291016,62.880001068115234,63.20000076293945,63.20000076293945,783600
2022-08-25,63.349998474121094,63.97999954223633,63.2400016784668,63.81999969482422,63.81999969482422,607400
